Package,Class,Lines of Code,Cyclomatic Complexity,Weighted Methods per Class,Depth of Inheritance Tree,Number of Children,Coupling between Objects,Response for Class,Lack of Cohesion of Methods
org::eclipse::jdt::internal::core::PackageFragmentRootInfo,org::eclipse::jdt::internal::core::OpenableElementInfo,141,28,28,3,1,19,28,0
org::eclipse::jdt::internal::compiler::parser::TypeConverter,java::lang::Object,502,120,119,1,2,24,30,0
org::eclipse::jdt::internal::core::search::matching::MemberDeclarationVisitor,org::eclipse::jdt::internal::compiler::ASTVisitor,210,57,57,2,0,23,29,78
org::eclipse::jdt::core::dom::rewrite::ImportRewrite::ImportRewriteContext,java::lang::Object,12,0,0,1,1,1,1,0
org::eclipse::jdt::internal::compiler::ast::JavadocAllocationExpression,org::eclipse::jdt::internal::compiler::ast::AllocationExpression,167,49,49,5,1,18,43,10
org::eclipse::jdt::internal::compiler::parser::RecoveredUnit,org::eclipse::jdt::internal::compiler::parser::RecoveredElement,229,40,42,2,0,16,34,52
org::eclipse::jdt::internal::formatter::CascadingMethodInvocationFragmentBuilder,org::eclipse::jdt::internal::compiler::ASTVisitor,26,6,6,2,0,5,8,0
org::eclipse::jdt::internal::core::search::matching::MultiTypeDeclarationPattern,org::eclipse::jdt::internal::core::search::matching::JavaSearchPattern,177,51,51,4,0,8,20,3
org::eclipse::jdt::core::dom::ClassInstanceCreation,org::eclipse::jdt::core::dom::Expression,370,49,49,3,0,18,61,63
org::eclipse::jdt::internal::core::search::AbstractSearchScope,org::eclipse::jdt::core::search::IJavaSearchScope,29,4,4,1,2,1,5,10
org::eclipse::jdt::internal::compiler::lookup::PackageBinding,org::eclipse::jdt::internal::compiler::lookup::TypeConstants,149,45,45,2,1,12,31,11
org::eclipse::jdt::internal::core::util::BindingKeyParser::Scanner,java::lang::Object,359,110,110,1,0,5,31,0
org::eclipse::jdt::internal::core::search::matching::LocalVariablePattern,org::eclipse::jdt::internal::core::search::matching::VariablePattern,43,10,10,5,0,18,20,0
org::eclipse::jdt::internal::compiler::ast::NumberLiteral,org::eclipse::jdt::internal::compiler::ast::Literal,16,4,4,5,5,0,4,1
org::eclipse::jdt::internal::core::search::IndexSelector,java::lang::Object,184,45,45,1,0,15,33,3
org::eclipse::jdt::core::dom::Message,java::lang::Object,91,11,11,1,0,2,5,6
org::eclipse::jdt::internal::core::util::BindingKeyResolver,org::eclipse::jdt::internal::core::util::BindingKeyParser,445,114,114,2,0,30,81,246
org::eclipse::jdt::core::dom::DefaultASTVisitor,org::eclipse::jdt::core::dom::ASTVisitor,515,127,127,2,2,50,135,13366
org::eclipse::jdt::internal::core::builder::JavaBuilder,org::eclipse::core::resources::IncrementalProjectBuilder,647,127,127,1,0,50,135,55
org::eclipse::jdt::internal::core::SearchableEnvironment,org::eclipse::jdt::internal::compiler::env::INameEnvironment,421,56,56,1,1,31,53,19
org::eclipse::jdt::internal::core::util::ASTNodeFinder,java::lang::Object,129,35,35,1,0,18,18,6
org::eclipse::jdt::internal::formatter::comment::Java2HTMLEntityReader,org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader,64,10,10,2,0,6,16,0
org::eclipse::jdt::internal::compiler::env::AccessRestriction,java::lang::Object,11,3,3,1,0,2,4,0
org::eclipse::jdt::internal::core::util::ParameterAnnotation,org::eclipse::jdt::internal::core::util::ClassFileStruct,36,6,6,2,0,4,6,1
org::eclipse::jdt::internal::core::search::matching::FieldLocator,org::eclipse::jdt::internal::core::search::matching::VariableLocator,314,91,91,3,0,41,60,6
org::eclipse::jdt::internal::core::CancelableProblemFactory,org::eclipse::jdt::internal::compiler::problem::DefaultProblemFactory,14,5,5,2,0,5,8,0
org::eclipse::jdt::internal::core::search::matching::QualifiedTypeDeclarationPattern,org::eclipse::jdt::internal::core::search::matching::TypeDeclarationPattern,113,23,23,5,0,6,20,2
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference,org::eclipse::jdt::internal::compiler::ast::SingleTypeReference,66,13,13,6,2,8,18,7
org::eclipse::jdt::internal::core::SourceMapper,org::eclipse::jdt::internal::core::util::ReferenceInfoAdapter,647,127,127,2,0,50,135,304
org::eclipse::jdt::internal::core::ExternalJavaProject,org::eclipse::jdt::internal::core::JavaProject,33,9,9,5,0,12,17,10
org::eclipse::jdt::internal::compiler::flow::FlowContext,org::eclipse::jdt::internal::compiler::lookup::TypeConstants,501,118,118,1,4,25,60,240
org::eclipse::jdt::internal::compiler::lookup::ProblemFieldBinding,org::eclipse::jdt::internal::compiler::lookup::FieldBinding,12,3,3,4,0,1,2,0
org::eclipse::jdt::internal::compiler::codegen::ExceptionLabel,org::eclipse::jdt::internal::compiler::codegen::Label,58,13,13,2,0,10,22,3
org::eclipse::jdt::internal::compiler::batch::FileSystem,java::lang::Object,237,60,60,1,0,16,41,25
org::eclipse::jdt::internal::compiler::ast::QualifiedThisReference,org::eclipse::jdt::internal::compiler::ast::ThisReference,108,17,17,6,1,16,32,14
org::eclipse::jdt::core::dom::rewrite::ASTRewrite,java::lang::Object,554,67,67,1,0,36,88,120
org::eclipse::jdt::core::formatter::CodeFormatterApplication,org::eclipse::equinox::app::IApplication,220,43,43,1,0,25,48,1
org::eclipse::jdt::internal::compiler::util::HashtableOfPackage,java::lang::Object,82,23,23,1,0,4,10,10
org::eclipse::jdt::internal::compiler::ast::OR_OR_Expression,org::eclipse::jdt::internal::compiler::ast::BinaryExpression,235,39,39,6,0,10,40,7
org::eclipse::jdt::internal::core::SelectionRequestor,org::eclipse::jdt::internal::codeassist::ISelectionRequestor,647,127,127,1,0,50,103,90
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadoc,org::eclipse::jdt::internal::compiler::ast::Javadoc,256,64,64,3,0,32,24,9
org::eclipse::jdt::internal::core::BinaryField,org::eclipse::jdt::core::IField,81,24,24,7,1,18,41,55
org::eclipse::jdt::internal::core::util::ExceptionTableEntry,org::eclipse::jdt::core::util::IExceptionTableEntry,43,8,8,2,0,4,10,10
org::eclipse::jdt::internal::core::ResolvedSourceMethod,org::eclipse::jdt::internal::core::SourceMethod,26,6,6,7,1,2,7,3
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedTypeReference,org::eclipse::jdt::internal::compiler::ast::QualifiedTypeReference,66,18,18,6,0,7,21,13
org::eclipse::jdt::internal::core::util::SignatureAttribute,org::eclipse::jdt::core::util::ISignatureAttribute,16,4,4,3,0,4,8,1
org::eclipse::jdt::core::search::FieldDeclarationMatch,org::eclipse::jdt::core::search::SearchMatch,13,1,1,2,0,3,1,0
org::eclipse::jdt::internal::core::search::BasicSearchEngine,java::lang::Object,647,127,127,1,0,50,135,125
org::eclipse::jdt::internal::core::JavaProjectElementInfo::ProjectCache,java::lang::Object,5,1,1,1,0,3,0,0
org::eclipse::jdt::internal::codeassist::InternalCompletionProposal,java::lang::Object,127,33,33,1,1,10,28,0
org::eclipse::jdt::internal::core::search::matching::DeclarationOfReferencedMethodsPattern,org::eclipse::jdt::internal::core::search::matching::MethodPattern,7,1,1,5,0,3,2,0
org::eclipse::jdt::core::dom::NormalAnnotation,org::eclipse::jdt::core::dom::Annotation,103,18,18,4,0,10,41,1
org::eclipse::jdt::internal::eval::CodeSnippetEnvironment,java::lang::Object,59,12,12,1,0,8,16,0
org::eclipse::jdt::internal::core::CreatePackageDeclarationOperation,org::eclipse::jdt::internal::core::CreateElementInCUOperation,82,14,14,3,0,22,28,1
org::eclipse::jdt::internal::core::JarPackageFragmentRoot,org::eclipse::jdt::internal::core::PackageFragmentRoot,242,48,48,5,0,27,69,72
org::eclipse::jdt::internal::compiler::ast::AND_AND_Expression,org::eclipse::jdt::internal::compiler::ast::BinaryExpression,236,39,39,6,0,10,40,7
org::eclipse::jdt::internal::compiler::lookup::ElementValuePair,java::lang::Object,80,20,20,1,0,14,16,8
org::eclipse::jdt::internal::core::dom::rewrite::ImportRewriteAnalyzer::PackageEntry,java::lang::Object,175,47,47,1,0,6,43,131
org::eclipse::jdt::internal::core::search::TypeNameMatchRequestorWrapper,java::lang::Object,121,24,24,1,0,22,31,0
org::eclipse::jdt::internal::core::builder::CompilationParticipantResult,java::lang::Object,19,3,3,1,1,4,3,0
org::eclipse::jdt::internal::compiler::lookup::TypeVariableBinding,org::eclipse::jdt::internal::compiler::lookup::ReferenceBinding,381,101,101,4,1,18,59,147
org::eclipse::jdt::internal::compiler::batch::ClasspathDirectory,org::eclipse::jdt::internal::compiler::batch::ClasspathLocation,140,39,39,2,0,14,42,45
org::eclipse::jdt::internal::compiler::ast::ArrayReference,org::eclipse::jdt::internal::compiler::ast::Reference,161,34,34,5,0,14,42,17
org::eclipse::jdt::internal::core::util::DefaultStackMapFrame,org::eclipse::jdt::core::util::IStackMapFrame,62,12,12,2,0,4,10,15
org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray::HashableWeakReference,java::lang::ref::WeakReference,19,7,7,1,0,5,8,2
org::eclipse::jdt::internal::core::ImportContainer,org::eclipse::jdt::internal::core::SourceRefElement,91,22,22,4,1,12,35,21
org::eclipse::jdt::internal::core::SourceRefElement,org::eclipse::jdt::internal::core::JavaElement,221,50,50,3,7,28,65,207
org::eclipse::jdt::core::dom::QualifiedType,org::eclipse::jdt::core::dom::Type,162,26,26,3,0,11,40,8
org::eclipse::jdt::core::dom::EnumDeclaration,org::eclipse::jdt::core::dom::AbstractTypeDeclaration,166,29,29,4,0,15,58,3
org::eclipse::jdt::internal::compiler::ast::LongLiteralMinValue,org::eclipse::jdt::internal::compiler::ast::LongLiteral,7,2,2,7,0,3,3,0
org::eclipse::jdt::core::dom::PackageBinding,java::lang::Object,161,40,40,2,0,32,51,68
org::eclipse::jdt::internal::core::NonJavaResource,org::eclipse::jdt::core::IJarEntryResource,77,23,23,2,0,13,28,35
org::eclipse::jdt::core::dom::VariableDeclarationStatement,org::eclipse::jdt::core::dom::Statement,266,39,39,3,0,17,62,19
org::eclipse::jdt::internal::formatter::FormatJavadoc,org::eclipse::jdt::internal::compiler::ast::Javadoc,40,8,8,3,0,3,8,2
org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot,org::eclipse::jdt::internal::core::PackageFragmentRoot,86,20,20,5,0,10,22,18
org::eclipse::jdt::core::dom::TagElement,org::eclipse::jdt::core::dom::IDocElement,182,20,20,2,0,11,40,9
org::eclipse::jdt::core::dom::MethodRef,org::eclipse::jdt::core::dom::IDocElement,191,27,27,2,0,15,50,19
org::eclipse::jdt::internal::codeassist::impl::AssistSourceField,org::eclipse::jdt::internal::core::ResolvedSourceField,41,10,10,8,0,10,14,5
org::eclipse::jdt::internal::compiler::codegen::ConstantPool,org::eclipse::jdt::internal::compiler::classfmt::ClassFileConstants,647,118,118,1,0,19,63,9
org::eclipse::jdt::core::dom::MemberRef,org::eclipse::jdt::core::dom::IDocElement,167,24,24,2,0,13,41,13
org::eclipse::jdt::internal::codeassist::select::SelectionOnPackageReference,org::eclipse::jdt::internal::compiler::ast::ImportReference,11,4,4,3,0,2,6,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleTypeReference,org::eclipse::jdt::internal::compiler::ast::SingleTypeReference,66,20,20,6,0,7,19,21
org::eclipse::jdt::core::ToolFactory,java::lang::Object,403,40,40,1,0,46,54,77
org::eclipse::jdt::internal::core::dom::rewrite::ListRewriteEvent,org::eclipse::jdt::internal::core::dom::rewrite::RewriteEvent,144,36,36,2,0,7,37,78
org::eclipse::jdt::internal::core::NameLookup::Answer,java::lang::Object,13,5,5,1,0,3,4,0
org::eclipse::jdt::internal::compiler::lookup::CaptureBinding,org::eclipse::jdt::internal::compiler::lookup::TypeVariableBinding,220,44,44,5,0,12,45,15
org::eclipse::jdt::internal::core::InternalNamingConventions,java::lang::Object,397,75,75,1,0,14,40,6
org::eclipse::jdt::internal::core::builder::ClasspathJar::PackageCacheEntry,java::lang::Object,5,1,1,1,0,1,0,0
org::eclipse::jdt::internal::codeassist::UnresolvedReferenceNameFinder,org::eclipse::jdt::internal::compiler::ASTVisitor,460,97,97,2,0,29,55,204
org::eclipse::jdt::internal::core::builder::ClasspathJar,org::eclipse::jdt::internal::core::builder::ClasspathLocation,137,36,36,2,0,26,44,13
org::eclipse::jdt::core::dom::Name,org::eclipse::jdt::core::dom::IDocElement,72,6,6,3,2,6,11,6
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration,org::eclipse::jdt::core::dom::AbstractTypeDeclaration,130,25,25,4,0,15,54,0
org::eclipse::jdt::internal::core::util::StackMapAttribute,org::eclipse::jdt::core::util::IStackMapAttribute,46,7,7,3,0,5,9,3
org::eclipse::jdt::internal::core::jdom::DOMCompilationUnit,org::eclipse::jdt::internal::core::jdom::DOMNode,149,26,26,3,0,11,33,35
org::eclipse::jdt::internal::formatter::FormatJavadocReference,org::eclipse::jdt::internal::formatter::FormatJavadocNode,13,4,4,2,0,1,5,0
org::eclipse::jdt::core::search::MethodReferenceMatch,org::eclipse::jdt::internal::core::search::matching::InternalReferenceMatch,93,6,6,4,0,3,6,3
org::eclipse::jdt::internal::formatter::comment::MultiCommentLine,org::eclipse::jdt::internal::formatter::comment::IHtmlTagDelimiters,333,63,63,2,1,10,54,0
org::eclipse::jdt::internal::core::hierarchy::RegionBasedHierarchyBuilder,org::eclipse::jdt::internal::core::hierarchy::HierarchyBuilder,182,37,37,2,0,25,46,0
org::eclipse::jdt::internal::core::CreateMethodOperation,org::eclipse::jdt::internal::core::CreateTypeMemberOperation,81,16,16,4,0,18,31,0
org::eclipse::jdt::core::ClasspathContainerInitializer,java::lang::Object,289,13,13,1,2,8,13,33
org::eclipse::jdt::internal::compiler::parser::diagnose::DiagnoseParser::StateInfo,java::lang::Object,4,1,1,1,0,0,0,0
org::eclipse::jdt::internal::core::CompilationUnitProblemFinder,org::eclipse::jdt::internal::compiler::Compiler,197,18,18,2,0,43,39,6
org::eclipse::jdt::internal::codeassist::complete::CompletionOnStringLiteral,org::eclipse::jdt::internal::compiler::ast::StringLiteral,21,5,5,6,0,5,9,3
org::eclipse::jdt::internal::core::SearchableEnvironmentRequestor,org::eclipse::jdt::internal::core::JavaElementRequestor,73,10,10,2,0,18,21,2
org::eclipse::jdt::core::dom::CatchClause,org::eclipse::jdt::core::dom::ASTNode,167,26,26,2,0,11,40,8
org::eclipse::jdt::internal::core::search::matching::PackageReferencePattern,org::eclipse::jdt::internal::core::search::matching::IntersectingPattern,53,13,13,5,0,2,15,10
org::eclipse::jdt::internal::compiler::ast::AssertStatement,org::eclipse::jdt::internal::compiler::ast::Statement,176,39,39,3,0,23,56,4
org::eclipse::jdt::internal::core::search::matching::DeclarationOfReferencedTypesPattern,org::eclipse::jdt::internal::core::search::matching::TypeReferencePattern,7,1,1,6,0,2,2,0
org::eclipse::jdt::core::dom::DocCommentParser,org::eclipse::jdt::internal::compiler::parser::AbstractCommentParser,647,127,127,2,0,25,80,2
org::eclipse::jdt::internal::compiler::util::SimpleSet,java::lang::Cloneable,106,35,35,1,0,5,16,18
org::eclipse::jdt::internal::core::BasicCompilationUnit,java::lang::Object,83,22,22,2,0,11,20,4
org::eclipse::jdt::internal::core::search::matching::DeclarationOfAccessedFieldsPattern,org::eclipse::jdt::internal::core::search::matching::FieldPattern,7,1,1,6,0,3,2,0
org::eclipse::jdt::internal::core::JavaModel,org::eclipse::jdt::internal::core::Openable,318,70,70,4,0,46,90,252
org::eclipse::jdt::core::search::TypeParameterDeclarationMatch,org::eclipse::jdt::core::search::SearchMatch,13,1,1,2,0,3,1,0
org::eclipse::jdt::core::dom::ContinueStatement,org::eclipse::jdt::core::dom::Statement,102,16,16,3,0,9,33,2
org::eclipse::jdt::internal::core::SourceRefElementInfo,org::eclipse::jdt::internal::core::JavaElementInfo,25,5,5,2,3,2,6,1
org::eclipse::jdt::internal::core::UserLibraryClasspathContainer,java::lang::Object,35,10,10,1,0,9,13,5
org::eclipse::jdt::internal::core::Member,org::eclipse::jdt::core::IMember,351,93,93,4,2,41,98,91
org::eclipse::jdt::core::dom::Assignment,org::eclipse::jdt::core::dom::Expression,201,32,32,3,0,12,44,18
org::eclipse::jdt::internal::compiler::flow::FinallyFlowContext,org::eclipse::jdt::internal::compiler::flow::FlowContext,273,78,78,2,0,12,36,5
org::eclipse::jdt::internal::core::DefaultWorkingCopyOwner,org::eclipse::jdt::core::WorkingCopyOwner,10,4,4,2,0,4,4,1
org::eclipse::jdt::internal::compiler::ast::SubRoutineStatement,org::eclipse::jdt::internal::compiler::ast::Statement,42,11,11,3,2,5,12,25
org::eclipse::jdt::internal::core::ClassFileWorkingCopy,org::eclipse::jdt::internal::core::CompilationUnit,71,18,18,5,0,21,37,9
org::eclipse::jdt::internal::compiler::lookup::SyntheticArgumentBinding,org::eclipse::jdt::internal::compiler::lookup::LocalVariableBinding,23,3,3,4,0,7,6,0
org::eclipse::jdt::internal::compiler::problem::ShouldNotImplement,java::lang::RuntimeException,3,1,1,1,0,1,1,0
org::eclipse::jdt::core::dom::PrefixExpression::Operator,java::lang::Object,49,5,5,1,0,4,7,1
org::eclipse::jdt::internal::compiler::ast::AnnotationMethodDeclaration,org::eclipse::jdt::internal::compiler::ast::MethodDeclaration,133,41,41,4,0,19,43,18
org::eclipse::jdt::internal::codeassist::CompletionEngine::AcceptedType,java::lang::Object,23,2,2,1,0,3,6,0
org::eclipse::jdt::internal::core::search::matching::TypeDeclarationPattern,org::eclipse::jdt::internal::core::search::matching::JavaSearchPattern,263,69,69,4,2,9,32,9
org::eclipse::jdt::internal::formatter::AbortFormatting,java::lang::RuntimeException,7,2,2,1,0,1,2,0
org::eclipse::jdt::internal::compiler::classfmt::ClassFileStruct,java::lang::Object,67,14,14,1,5,3,12,13
org::eclipse::jdt::internal::core::CancelableNameEnvironment,org::eclipse::jdt::internal::core::SearchableEnvironment,27,8,8,2,0,12,15,6
org::eclipse::jdt::internal::compiler::ast::CaseStatement,org::eclipse::jdt::internal::compiler::ast::Statement,110,24,24,3,0,21,36,9
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodName,org::eclipse::jdt::internal::compiler::ast::MethodDeclaration,31,9,9,4,0,6,13,1
org::eclipse::jdt::internal::compiler::ast::ThrowStatement,org::eclipse::jdt::internal::compiler::ast::Statement,50,12,12,3,0,13,26,0
org::eclipse::jdt::internal::compiler::ast::BreakStatement,org::eclipse::jdt::internal::compiler::ast::BranchStatement,72,15,15,4,0,11,26,3
org::eclipse::jdt::internal::core::util::LocalVariableTypeTableEntry,org::eclipse::jdt::core::util::ILocalVariableTypeTableEntry,70,10,10,2,0,4,12,21
org::eclipse::jdt::internal::compiler::util::SimpleNameVector,java::lang::Object,64,18,18,1,0,4,15,1
org::eclipse::jdt::internal::eval::CodeSnippetSkeleton::BinaryMethodSkeleton,java::lang::Object,42,13,13,2,0,2,12,66
org::eclipse::jdt::internal::core::builder::ClasspathDirectory,org::eclipse::jdt::internal::core::builder::ClasspathLocation,101,32,32,2,1,17,35,25
org::eclipse::jdt::internal::codeassist::select::SelectionOnExplicitConstructorCall,org::eclipse::jdt::internal::compiler::ast::ExplicitConstructorCall,34,9,9,4,0,6,12,1
org::eclipse::jdt::internal::core::NamedMember,org::eclipse::jdt::internal::core::Member,249,45,45,5,4,24,57,9
org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope,org::eclipse::jdt::internal::core::search::AbstractSearchScope,17,0,0,2,2,3,2,1
org::eclipse::jdt::internal::core::jdom::DOMBuilder,org::eclipse::jdt::internal::core::jdom::AbstractDOMBuilder,647,75,75,3,0,28,75,262
org::eclipse::jdt::internal::compiler::codegen::Label,java::lang::Object,7,2,2,1,2,1,1,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodTypeParameter,org::eclipse::jdt::internal::compiler::ast::MethodDeclaration,22,4,4,4,0,6,8,1
org::eclipse::jdt::core::compiler::InvalidInputException,java::lang::Exception,13,2,2,1,0,1,2,0
org::eclipse::jdt::internal::core::search::matching::ConstructorPattern,org::eclipse::jdt::internal::core::search::matching::JavaSearchPattern,277,63,63,4,0,15,41,9
org::eclipse::jdt::internal::compiler::classfmt::FieldInfoWithAnnotation,org::eclipse::jdt::internal::compiler::classfmt::FieldInfo,40,10,10,3,0,5,15,0
org::eclipse::jdt::internal::core::UserLibrary,java::lang::Object,141,27,27,1,0,30,63,12
org::eclipse::jdt::internal::core::hierarchy::HierarchyType,org::eclipse::jdt::internal::compiler::env::IGenericType,33,4,4,2,0,4,6,3
org::eclipse::jdt::internal::core::JavaElement.getSchedulingRule()::NoResourceSchedulingRule,java::lang::Object,18,5,5,1,0,1,3,0
org::eclipse::jdt::internal::core::BinaryMember,org::eclipse::jdt::internal::core::NamedMember,139,32,32,6,3,20,38,55
org::eclipse::jdt::internal::compiler::classfmt::AnnotationMethodInfo,org::eclipse::jdt::internal::compiler::classfmt::MethodInfo,95,22,22,3,1,7,19,1
org::eclipse::jdt::internal::core::PackageFragment,org::eclipse::jdt::internal::core::Openable,448,94,94,4,1,46,130,297
org::eclipse::jdt::internal::core::util::Messages,org::eclipse::osgi::util::NLS,46,6,6,1,0,3,7,6
org::eclipse::jdt::internal::core::LRUCacheEnumerator,java::lang::Object,20,3,3,1,0,1,2,0
org::eclipse::jdt::internal::core::index::Index,java::lang::Object,142,44,44,1,0,15,40,37
org::eclipse::jdt::core::search::SearchDocument,org::eclipse::jdt::internal::core::search::indexing::InternalSearchDocument,96,5,5,2,1,2,9,21
org::eclipse::jdt::internal::core::ExternalFolderChange,java::lang::Object,27,7,7,1,0,10,12,0
org::eclipse::jdt::core::dom::Statement,org::eclipse::jdt::core::dom::ASTNode,116,14,14,2,22,7,12,0
org::eclipse::jdt::internal::core::util::RuntimeInvisibleParameterAnnotationsAttribute,org::eclipse::jdt::internal::core::util::ClassFileAttribute,33,5,5,3,0,4,6,1
org::eclipse::jdt::internal::compiler::flow::SwitchFlowContext,org::eclipse::jdt::internal::compiler::flow::FlowContext,23,6,6,2,2,6,13,5
org::eclipse::jdt::internal::core::util::ExceptionAttribute,org::eclipse::jdt::internal::core::util::ClassFileAttribute,40,7,7,3,0,6,9,3
org::eclipse::jdt::core::dom::InfixExpression,org::eclipse::jdt::core::dom::Expression,254,39,39,3,0,14,55,32
org::eclipse::jdt::internal::core::ClasspathEntry,org::eclipse::jdt::core::IClasspathEntry,647,127,127,1,0,50,135,302
org::eclipse::jdt::internal::compiler::lookup::ParameterizedFieldBinding,org::eclipse::jdt::internal::compiler::lookup::FieldBinding,33,4,4,4,0,4,8,0
org::eclipse::jdt::internal::compiler::ast::QualifiedNameReference,org::eclipse::jdt::internal::compiler::ast::NameReference,647,127,127,6,3,35,135,257
org::eclipse::jdt::core::dom::PrimitiveType::Code,java::lang::Object,20,2,2,1,0,1,1,0
org::eclipse::jdt::core::dom::InternalASTRewrite,org::eclipse::jdt::core::dom::NodeEventHandler,175,35,35,2,0,22,52,0
org::eclipse::jdt::internal::compiler::codegen::VerificationTypeInfo,java::lang::Object,171,56,56,1,0,6,20,10
org::eclipse::jdt::internal::compiler::lookup::ParameterizedMethodBinding,org::eclipse::jdt::internal::compiler::lookup::MethodBinding,264,39,39,3,1,12,22,5
org::eclipse::jdt::internal::formatter::comment::HTMLEntity2JavaReader,org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader,73,13,13,2,0,8,20,0
org::eclipse::jdt::internal::core::search::matching::MatchLocator::WrappedCoreException,java::lang::RuntimeException,3,1,1,1,0,1,0,0
org::eclipse::jdt::internal::compiler::ast::JavadocQualifiedTypeReference,org::eclipse::jdt::internal::compiler::ast::QualifiedTypeReference,55,14,14,6,1,10,25,6
org::eclipse::jdt::internal::compiler::lookup::Binding,java::lang::Object,33,7,7,1,6,9,9,36
org::eclipse::jdt::internal::eval::CodeSnippetCompiler,org::eclipse::jdt::internal::compiler::Compiler,35,2,2,2,0,7,3,0
org::eclipse::jdt::internal::compiler::ast::LocalDeclaration,org::eclipse::jdt::internal::compiler::ast::AbstractVariableDeclaration,219,45,46,4,3,26,62,12
org::eclipse::jdt::internal::core::MoveElementsOperation,org::eclipse::jdt::internal::core::CopyElementsOperation,19,3,3,4,1,3,3,0
org::eclipse::jdt::internal::core::hierarchy::HierarchyBuilder,java::lang::Object,272,49,49,1,2,43,65,1
org::eclipse::jdt::internal::compiler::parser::AbstractCommentParser,java::lang::Object,647,127,127,1,2,16,81,0
org::eclipse::jdt::internal::core::MemberElementInfo,org::eclipse::jdt::internal::core::SourceRefElementInfo,41,6,6,3,3,0,6,3
org::eclipse::jdt::internal::core::PackageFragmentInfo,org::eclipse::jdt::internal::core::OpenableElementInfo,36,6,6,3,1,4,6,0
org::eclipse::jdt::internal::compiler::parser::SourceTypeConverter,org::eclipse::jdt::internal::compiler::parser::TypeConverter,517,88,88,2,0,50,87,0
org::eclipse::jdt::internal::compiler::flow::UnconditionalFlowInfo::AssertionFailedException,java::lang::RuntimeException,3,1,1,1,0,1,1,0
org::eclipse::jdt::core::dom::BooleanLiteral,org::eclipse::jdt::core::dom::Expression,91,15,15,3,0,8,28,2
org::eclipse::jdt::core::dom::ThrowStatement,org::eclipse::jdt::core::dom::Statement,115,19,19,3,0,11,37,2
org::eclipse::jdt::internal::compiler::ast::IntLiteral,org::eclipse::jdt::internal::compiler::ast::NumberLiteral,124,25,25,6,1,13,23,19
org::eclipse::jdt::internal::core::JarEntryDirectory,org::eclipse::jdt::internal::core::JarEntryResource,32,9,9,3,0,5,12,12
org::eclipse::jdt::internal::core::util::DOMFinder,org::eclipse::jdt::core::dom::ASTVisitor,110,37,37,2,0,26,43,29
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocQualifiedTypeReference,org::eclipse::jdt::internal::compiler::ast::JavadocQualifiedTypeReference,68,19,19,7,0,2,11,0
org::eclipse::jdt::internal::core::util::KeyKind,org::eclipse::jdt::internal::core::util::BindingKeyParser,56,19,19,2,0,2,19,28
org::eclipse::jdt::core::dom::BindingResolver,java::lang::Object,647,53,53,1,1,46,52,1
org::eclipse::jdt::internal::formatter::FormatJavadocText,org::eclipse::jdt::internal::formatter::comment::IJavaDocTagConstants,226,56,56,2,0,5,30,11
org::eclipse::jdt::core::dom::Assignment::Operator,java::lang::Object,55,5,5,1,0,4,7,1
org::eclipse::jdt::internal::codeassist::impl::Engine,org::eclipse::jdt::internal::compiler::impl::ITypeRequestor,288,59,59,1,2,34,40,25
org::eclipse::jdt::internal::compiler::util::HashtableOfObjectToIntArray,java::lang::Object,120,31,31,1,0,4,14,6
org::eclipse::jdt::internal::core::hierarchy::TypeHierarchy,org::eclipse::jdt::core::ITypeHierarchy,647,127,127,1,1,50,135,427
org::eclipse::jdt::core::search::PackageDeclarationMatch,org::eclipse::jdt::core::search::SearchMatch,13,1,1,2,0,3,1,0
org::eclipse::jdt::internal::core::ElementCache,org::eclipse::jdt::internal::core::OverflowingLRUCache,52,10,10,3,1,6,12,0
org::eclipse::jdt::internal::core::search::JavaSearchScope,org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope,573,127,127,3,0,34,103,28
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleNameReference,org::eclipse::jdt::internal::compiler::ast::SingleNameReference,40,10,10,7,0,8,16,1
org::eclipse::jdt::internal::core::search::matching::IntersectingPattern,org::eclipse::jdt::internal::core::search::matching::JavaSearchPattern,57,16,16,4,3,10,19,0
org::eclipse::jdt::core::dom::StringLiteral,org::eclipse::jdt::core::dom::Expression,255,45,45,3,0,14,45,9
org::eclipse::jdt::internal::compiler::lookup::BlockScope,org::eclipse::jdt::internal::compiler::lookup::Scope,647,127,127,2,2,36,96,215
org::eclipse::jdt::internal::core::DiscardWorkingCopyOperation,org::eclipse::jdt::internal::core::JavaModelOperation,47,8,8,2,0,12,22,0
