Package,Class,Lines of Code,Cyclomatic Complexity,Weighted Methods per Class,Depth of Inheritance Tree,Number of Children,Coupling between Objects,Response for Class,Lack of Cohesion of Methods
org::eclipse::jdt::internal::core::search::processing::JobManager,java::lang::Runnable,429,86,86,1,1,16,58,36
org::eclipse::jdt::internal::compiler::ast::WhileStatement,org::eclipse::jdt::internal::compiler::ast::Statement,243,30,29,3,0,17,51,0
org::eclipse::jdt::core::dom::DefaultValuePairBinding,org::eclipse::jdt::core::dom::MemberValuePairBinding,20,6,6,3,0,4,11,7
org::eclipse::jdt::core::dom::VariableDeclaration,org::eclipse::jdt::core::dom::ASTNode,152,5,5,2,2,7,16,45
org::eclipse::jdt::internal::core::builder::SourceFile,org::eclipse::jdt::internal::compiler::env::ICompilationUnit,77,16,16,2,0,11,29,12
org::eclipse::jdt::internal::core::search::matching::FieldPattern,org::eclipse::jdt::internal::core::search::matching::VariablePattern,89,24,24,5,1,4,19,15
org::eclipse::jdt::internal::core::dom::rewrite::RewriteEventStore::NodeRangeInfo,java::lang::Comparable,59,13,13,1,0,10,17,18
org::eclipse::jdt::internal::core::search::indexing::SourceIndexerRequestor,org::eclipse::jdt::internal::compiler::ISourceElementRequestor,327,72,72,1,0,18,60,314
org::eclipse::jdt::internal::compiler::parser::RecoveredImport,org::eclipse::jdt::internal::compiler::parser::RecoveredElement,26,8,8,2,0,3,9,5
org::eclipse::jdt::internal::compiler::parser::RecoveredStatement,org::eclipse::jdt::internal::compiler::parser::RecoveredElement,23,8,8,2,3,4,10,5
org::eclipse::jdt::internal::compiler::ast::ParameterizedQualifiedTypeReference,org::eclipse::jdt::internal::compiler::ast::ArrayQualifiedTypeReference,327,82,82,7,2,18,67,21
org::eclipse::jdt::internal::compiler::lookup::SyntheticFieldBinding,org::eclipse::jdt::internal::compiler::lookup::FieldBinding,5,1,1,4,0,4,1,0
org::eclipse::jdt::internal::core::util::EnclosingMethodAttribute,org::eclipse::jdt::core::util::IEnclosingMethodAttribute,50,13,13,3,0,4,16,21
org::eclipse::jdt::internal::core::util::WeakHashSet,java::lang::Object,146,37,37,1,0,6,20,7
org::eclipse::jdt::internal::compiler::ast::ForeachStatement,org::eclipse::jdt::internal::compiler::ast::Statement,464,77,77,3,0,29,97,0
org::eclipse::jdt::internal::core::search::matching::PossibleMatch,org::eclipse::jdt::internal::compiler::env::ICompilationUnit,118,30,30,2,0,18,39,18
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType,org::eclipse::jdt::internal::compiler::ast::MethodDeclaration,12,3,3,4,0,5,5,1
org::eclipse::jdt::internal::codeassist::select::SelectionOnFieldReference,org::eclipse::jdt::internal::compiler::ast::FieldReference,23,4,4,6,0,6,11,1
org::eclipse::jdt::internal::core::util::AnnotationComponentValue,org::eclipse::jdt::internal::core::util::ClassFileStruct,134,42,42,2,0,7,22,66
org::eclipse::jdt::core::Signature,java::lang::Object,647,127,127,1,0,11,111,1297
org::eclipse::jdt::core::dom::FieldDeclaration,org::eclipse::jdt::core::dom::BodyDeclaration,205,35,35,3,0,15,60,5
org::eclipse::jdt::internal::core::builder::BuildNotifier,java::lang::Object,222,58,58,1,0,14,41,48
org::eclipse::jdt::internal::core::search::indexing::AbstractIndexer,org::eclipse::jdt::internal::core::search::indexing::IIndexConstants,146,36,36,1,2,10,30,91
org::eclipse::jdt::core::dom::AnnotationTypeMemberDeclaration,org::eclipse::jdt::core::dom::BodyDeclaration,264,40,40,3,0,19,62,25
org::eclipse::jdt::core::dom::TryStatement,org::eclipse::jdt::core::dom::Statement,177,26,26,3,0,12,49,13
org::eclipse::jdt::internal::core::util::SimpleDocument,org::eclipse::jface::text::IDocument,167,45,45,1,0,9,49,940
org::eclipse::jdt::core::JavaModelException,org::eclipse::core::runtime::CoreException,129,15,15,1,0,7,27,14
org::eclipse::jdt::internal::core::OverflowingLRUCache,org::eclipse::jdt::internal::core::util::LRUCache,352,45,45,2,2,16,46,67
org::eclipse::jdt::internal::core::dom::rewrite::RewriteEventStore,java::lang::Object,494,117,117,1,0,32,123,369
org::eclipse::jdt::internal::compiler::lookup::ParameterizedTypeBinding,org::eclipse::jdt::internal::compiler::lookup::Substitution,647,127,127,4,1,30,135,455
org::eclipse::jdt::internal::compiler::impl::LongConstant,org::eclipse::jdt::internal::compiler::impl::Constant,40,13,13,2,0,2,13,45
org::eclipse::jdt::internal::codeassist::InternalExtendedCompletionContext,java::lang::Object,647,127,127,1,0,50,83,1
